url,title,price,description,stock,tags,categories,sku,poids,longueur,largeur,hauteur
https://scrapeme.live/shop/Blastoise/,Blastoise,"£,76.00",Blastoise has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet.,88 in stock,"blastoise,Shellfish,Torrent","Pokemon,Shellfish",5212,188.5 kg,5,5,5
https://scrapeme.live/shop/Kakuna/,Kakuna,"£,148.00","Kakuna remains virtually immobile as it clings to a tree. However, on the inside, it is extremely busy as it prepares for its coming evolution. This is evident from how hot the shell becomes to the touch.",260 in stock,"Cocoon,kakuna,Shed Skin","Cocoon,Pokemon",1049,22 kg,2,2,2
https://scrapeme.live/shop/Caterpie/,Caterpie,"£,73.00","Caterpie has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this Pokémon releases a terrifically strong odor.",40 in stock,"caterpie,Shield Dust,Worm","Pokemon,Worm",7492,6.4 kg,1,1,1
https://scrapeme.live/shop/Metapod/,Metapod,"£,148.00",The shell covering this Pokémon’s body is as hard as an iron slab. Metapod does not move very much. It stays still because it is preparing its soft innards for evolution inside the hard shell.,285 in stock,"Cocoon,metapod,Shed Skin","Cocoon,Pokemon",2072,21.8 kg,2,2,2
https://scrapeme.live/shop/Beedrill/,Beedrill,"£,168.00","Beedrill is extremely territorial. No one should ever approach its nest—this is for their own safety. If angered, they will attack in a furious swarm.",125 in stock,"beedrill,Poison Bee,Swarm","Poison Bee,Pokemon",6542,65 kg,3,3,3
https://scrapeme.live/shop/Weedle/,Weedle,"£,25.00",Weedle has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).,65 in stock,"Hairy Bug,Shield Dust,weedle","Hairy Bug,Pokemon",7525,7.1 kg,1,1,1
https://scrapeme.live/shop/Pidgey/,Pidgey,"£,159.00","Pidgey has an extremely sharp sense of direction. It is capable of unerringly returning home to its nest, however far it may be removed from its familiar surroundings.",175 in stock,"Keen Eye,pidgey,Tiny Bird","Pokemon,Tiny Bird",9452,4 kg,1,1,1
https://scrapeme.live/shop/Butterfree/,Butterfree,"£,162.00","Butterfree has a superior ability to search for delicious honey from flowers. It can even search out, extract, and carry honey from flowers that are blooming over six miles from its nest.",242 in stock,"Butterfly,butterfree,Compound Eyes","Butterfly,Pokemon",9507,70.5 kg,3,3,3
https://scrapeme.live/shop/Wartortle/,Wartortle,"£,123.00","Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as Wartortle ages. The scratches on its shell are evidence of this Pokémon’s toughness as a battler.",24 in stock,"Torrent,Turtle,wartortle","Pokemon,Turtle",9659,49.6 kg,3,3,3
https://scrapeme.live/shop/Squirtle/,Squirtle,"£,130.00","Squirtle’s shell is not merely used for protection. The shell’s rounded shape and the grooves on its surface help minimize resistance in water, enabling this Pokémon to swim at high speeds.",178 in stock,"squirtle,Tiny Turtle,Torrent","Pokemon,Tiny Turtle",6094,19.8 kg,1,1,1
https://scrapeme.live/shop/Charizard/,Charizard,"£,156.00","Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself.",31 in stock,"Blaze,Charizard,Flame","Flame,Pokemon",8840,199.5 kg,5,5,5
https://scrapeme.live/shop/Charmander/,Charmander,"£,48.00","The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is enjoying itself. If the Pokémon becomes enraged, the flame burns fiercely.",206 in stock,"Blaze,charmander,Lizard","Lizard,Pokemon",9086,18.7 kg,2,2,2
https://scrapeme.live/shop/Charmeleon/,Charmeleon,"£,165.00","Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color.",284 in stock,"Blaze,charmeleon,Flame","Flame,Pokemon",6565,41.9 kg,3,3,3
https://scrapeme.live/shop/Venusaur/,Venusaur,"£,105.00",There is a large flower on Venusaur’s back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people.,30 in stock,"Overgrow,Seed,venusaur","Pokemon,Seed",7036,220.5 kg,6,6,6
https://scrapeme.live/shop/Bulbasaur/,Bulbasaur,"£,63.00","Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun’s rays, the seed grows progressively larger.",45 in stock,"bulbasaur,Overgrow,Seed","Pokemon,Seed",4391,15.2 kg,2,2,2
https://scrapeme.live/shop/Ivysaur/,Ivysaur,"£,87.00","There is a bud on this Pokémon’s back. To support its weight, Ivysaur’s legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it’s a sign that the bud will bloom into a large flower soon.",142 in stock,"ivysaur,Overgrow,Seed","Pokemon,Seed",7227,28.7 kg,3,3,3
https://scrapeme.live/shop/Nidorino/,Nidorino,"£,179.00","Nidorino has a horn that is harder than a diamond. If it senses a hostile presence, all the barbs on its back bristle up at once, and it challenges the foe with all its might.",279 in stock,"nidorino,Poison Pin,Poison Point","Poison Pin,Pokemon",9646,43 kg,2,2,2
