categories,description,hauteur,largeur,longueur,poids,prix,sku,stock,tags,titre,url
"['cocoon', 'pokemon']","Kakuna remains virtually immobile as it clings to a tree. However, on the inside, it is extremely busy as it prepares for its coming evolution. This is evident from how hot the shell becomes to the touch.",2,2,2,22.0,148.0,1049,260,"['cocoon', 'kakuna', 'shed skin']",Kakuna,https://scrapeme.live/shop/Kakuna/
"['hairy bug', 'pokemon']",Weedle has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).,1,1,1,7.1,25.0,7525,65,"['hairy bug', 'shield dust', 'weedle']",Weedle,https://scrapeme.live/shop/Weedle/
"['pokemon', 'worm']","Caterpie has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this Pokémon releases a terrifically strong odor.",1,1,1,6.4,73.0,7492,40,"['caterpie', 'shield dust', 'worm']",Caterpie,https://scrapeme.live/shop/Caterpie/
"['cocoon', 'pokemon']",The shell covering this Pokémon’s body is as hard as an iron slab. Metapod does not move very much. It stays still because it is preparing its soft innards for evolution inside the hard shell.,2,2,2,21.8,148.0,2072,285,"['cocoon', 'metapod', 'shed skin']",Metapod,https://scrapeme.live/shop/Metapod/
"['poison bee', 'pokemon']","Beedrill is extremely territorial. No one should ever approach its nest—this is for their own safety. If angered, they will attack in a furious swarm.",3,3,3,65.0,168.0,6542,125,"['beedrill', 'poison bee', 'swarm']",Beedrill,https://scrapeme.live/shop/Beedrill/
"['butterfly', 'pokemon']","Butterfree has a superior ability to search for delicious honey from flowers. It can even search out, extract, and carry honey from flowers that are blooming over six miles from its nest.",3,3,3,70.5,162.0,9507,242,"['butterfly', 'butterfree', 'compound eyes']",Butterfree,https://scrapeme.live/shop/Butterfree/
"['pokemon', 'tiny bird']","Pidgey has an extremely sharp sense of direction. It is capable of unerringly returning home to its nest, however far it may be removed from its familiar surroundings.",1,1,1,4.0,159.0,9452,175,"['keen eye', 'pidgey', 'tiny bird']",Pidgey,https://scrapeme.live/shop/Pidgey/
"['pokemon', 'shellfish']",Blastoise has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet.,5,5,5,188.5,76.0,5212,88,"['blastoise', 'shellfish', 'torrent']",Blastoise,https://scrapeme.live/shop/Blastoise/
"['pokemon', 'turtle']","Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as Wartortle ages. The scratches on its shell are evidence of this Pokémon’s toughness as a battler.",3,3,3,49.6,123.0,9659,24,"['torrent', 'turtle', 'wartortle']",Wartortle,https://scrapeme.live/shop/Wartortle/
"['pokemon', 'tiny turtle']","Squirtle’s shell is not merely used for protection. The shell’s rounded shape and the grooves on its surface help minimize resistance in water, enabling this Pokémon to swim at high speeds.",1,1,1,19.8,130.0,6094,178,"['squirtle', 'tiny turtle', 'torrent']",Squirtle,https://scrapeme.live/shop/Squirtle/
"['flame', 'pokemon']","Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself.",5,5,5,199.5,156.0,8840,31,"['blaze', 'charizard', 'flame']",Charizard,https://scrapeme.live/shop/Charizard/
"['flame', 'pokemon']","Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color.",3,3,3,41.9,165.0,6565,284,"['blaze', 'charmeleon', 'flame']",Charmeleon,https://scrapeme.live/shop/Charmeleon/
"['lizard', 'pokemon']","The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is enjoying itself. If the Pokémon becomes enraged, the flame burns fiercely.",2,2,2,18.7,48.0,9086,206,"['blaze', 'charmander', 'lizard']",Charmander,https://scrapeme.live/shop/Charmander/
"['pokemon', 'seed']",There is a large flower on Venusaur’s back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people.,6,6,6,220.5,105.0,7036,30,"['overgrow', 'seed', 'venusaur']",Venusaur,https://scrapeme.live/shop/Venusaur/
"['pokemon', 'seed']","There is a bud on this Pokémon’s back. To support its weight, Ivysaur’s legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it’s a sign that the bud will bloom into a large flower soon.",3,3,3,28.7,87.0,7227,142,"['ivysaur', 'overgrow', 'seed']",Ivysaur,https://scrapeme.live/shop/Ivysaur/
"['pokemon', 'seed']","Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun’s rays, the seed grows progressively larger.",2,2,2,15.2,63.0,4391,45,"['bulbasaur', 'overgrow', 'seed']",Bulbasaur,https://scrapeme.live/shop/Bulbasaur/
"['pokemon', 'snake']",Ekans curls itself up in a spiral while it rests. Assuming this position allows it to quickly respond to a threat from any direction with a glare from its upraised head.,6,6,6,15.2,55.0,5690,120,"['ekans', 'shed skin', 'snake']",Ekans,https://scrapeme.live/shop/Ekans/
"['beak', 'pokemon']",Fearow is recognized by its long neck and elongated beak. They are conveniently shaped for catching prey in soil or water. It deftly moves its long and skinny beak to pluck prey.,3,3,3,83.8,95.0,9127,276,"['beak', 'fearow', 'keen eye']",Fearow,https://scrapeme.live/shop/Fearow/
"['pokemon', 'tiny bird']","Spearow has a very loud cry that can be heard over half a mile away. If its high, keening cry is heard echoing all around, it is a sign that they are warning each other of danger.",1,1,1,4.4,133.0,1591,46,"['keen eye', 'spearow', 'tiny bird']",Spearow,https://scrapeme.live/shop/Spearow/
"['mouse', 'pokemon']","Raticate’s sturdy fangs grow steadily. To keep them ground down, it gnaws on rocks and logs. It may even chew on the walls of houses.",2,2,2,40.8,60.0,5745,204,"['mouse', 'raticate', 'run away']",Raticate,https://scrapeme.live/shop/Raticate/
